2016-12-08T22:57:42.988+0000	connected to: 127.0.0.1
2016-12-08T22:57:42.994+0000	imported 186 documents
2016-12-08T22:57:43.067+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.069+0000	imported 8 documents
2016-12-08T22:57:43.144+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.145+0000	imported 8 documents
2016-12-08T22:57:43.220+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.246+0000	imported 816 documents
2016-12-08T22:57:43.325+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.326+0000	dropping: arslinguis.main
2016-12-08T22:57:43.326+0000	imported 0 documents
2016-12-08T22:57:43.405+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.407+0000	imported 8 documents
2016-12-08T22:57:43.484+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.485+0000	imported 20 documents
2016-12-08T22:57:43.562+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.568+0000	imported 186 documents
2016-12-08T22:57:43.646+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.647+0000	imported 8 documents
2016-12-08T22:57:43.725+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.725+0000	imported 8 documents
2016-12-08T22:57:43.802+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.829+0000	imported 816 documents
2016-12-08T22:57:43.908+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.909+0000	dropping: arslinguis.main
2016-12-08T22:57:43.910+0000	imported 0 documents
2016-12-08T22:57:43.987+0000	connected to: 127.0.0.1
2016-12-08T22:57:43.988+0000	imported 8 documents
2016-12-08T22:57:44.066+0000	connected to: 127.0.0.1
2016-12-08T22:57:44.067+0000	imported 20 documents
2016-12-08T22:57:44.143+0000	connected to: 127.0.0.1
2016-12-08T22:57:44.150+0000	imported 186 documents
2016-12-08T22:57:44.227+0000	connected to: 127.0.0.1
2016-12-08T22:57:44.228+0000	imported 8 documents
2016-12-08T22:57:44.304+0000	connected to: 127.0.0.1
2016-12-08T22:57:44.305+0000	imported 8 documents
2016-12-08T22:57:44.382+0000	connected to: 127.0.0.1
2016-12-08T22:57:44.427+0000	imported 816 documents
2016-12-08T23:07:36.927+0000	connected to: 127.0.0.1
2016-12-08T23:07:36.928+0000	dropping: arslinguis.main
2016-12-08T23:07:36.928+0000	imported 0 documents
2016-12-08T23:07:37.004+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.005+0000	imported 8 documents
2016-12-08T23:07:37.080+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.098+0000	imported 20 documents
2016-12-08T23:07:37.172+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.177+0000	imported 186 documents
2016-12-08T23:07:37.252+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.254+0000	imported 8 documents
2016-12-08T23:07:37.329+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.331+0000	imported 8 documents
2016-12-08T23:07:37.412+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.441+0000	imported 816 documents
2016-12-08T23:07:37.557+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.557+0000	dropping: arslinguis.main
2016-12-08T23:07:37.558+0000	imported 0 documents
2016-12-08T23:07:37.633+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.638+0000	imported 8 documents
2016-12-08T23:07:37.712+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.713+0000	imported 20 documents
2016-12-08T23:07:37.789+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.795+0000	imported 186 documents
2016-12-08T23:07:37.869+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.870+0000	imported 8 documents
2016-12-08T23:07:37.944+0000	connected to: 127.0.0.1
2016-12-08T23:07:37.945+0000	imported 8 documents
2016-12-08T23:07:38.020+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.046+0000	imported 816 documents
2016-12-08T23:07:38.139+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.139+0000	dropping: arslinguis.main
2016-12-08T23:07:38.140+0000	imported 0 documents
2016-12-08T23:07:38.215+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.216+0000	imported 8 documents
2016-12-08T23:07:38.292+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.294+0000	imported 20 documents
2016-12-08T23:07:38.370+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.375+0000	imported 186 documents
2016-12-08T23:07:38.456+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.457+0000	imported 8 documents
2016-12-08T23:07:38.536+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.537+0000	imported 8 documents
2016-12-08T23:07:38.613+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.641+0000	imported 816 documents
2016-12-08T23:07:38.733+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.733+0000	dropping: arslinguis.main
2016-12-08T23:07:38.734+0000	imported 0 documents
2016-12-08T23:07:38.811+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.812+0000	imported 8 documents
2016-12-08T23:07:38.889+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.890+0000	imported 20 documents
2016-12-08T23:07:38.966+0000	connected to: 127.0.0.1
2016-12-08T23:07:38.972+0000	imported 186 documents
2016-12-08T23:07:39.052+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.054+0000	imported 8 documents
2016-12-08T23:07:39.131+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.133+0000	imported 8 documents
2016-12-08T23:07:39.209+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.237+0000	imported 816 documents
2016-12-08T23:07:39.396+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.396+0000	dropping: arslinguis.main
2016-12-08T23:07:39.397+0000	imported 0 documents
2016-12-08T23:07:39.473+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.474+0000	imported 8 documents
2016-12-08T23:07:39.550+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.551+0000	imported 20 documents
2016-12-08T23:07:39.627+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.633+0000	imported 186 documents
2016-12-08T23:07:39.709+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.711+0000	imported 8 documents
2016-12-08T23:07:39.788+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.789+0000	imported 8 documents
2016-12-08T23:07:39.864+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.890+0000	imported 816 documents
2016-12-08T23:07:39.968+0000	connected to: 127.0.0.1
2016-12-08T23:07:39.968+0000	dropping: arslinguis.main
2016-12-08T23:07:39.969+0000	imported 0 documents
2016-12-08T23:07:40.045+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.047+0000	imported 8 documents
2016-12-08T23:07:40.121+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.123+0000	imported 20 documents
2016-12-08T23:07:40.200+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.213+0000	imported 186 documents
2016-12-08T23:07:40.288+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.291+0000	imported 8 documents
2016-12-08T23:07:40.366+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.367+0000	imported 8 documents
2016-12-08T23:07:40.446+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.472+0000	imported 816 documents
2016-12-08T23:07:40.557+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.558+0000	dropping: arslinguis.main
2016-12-08T23:07:40.558+0000	imported 0 documents
2016-12-08T23:07:40.633+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.634+0000	imported 8 documents
2016-12-08T23:07:40.709+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.711+0000	imported 20 documents
2016-12-08T23:07:40.787+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.793+0000	imported 186 documents
2016-12-08T23:07:40.868+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.869+0000	imported 8 documents
2016-12-08T23:07:40.944+0000	connected to: 127.0.0.1
2016-12-08T23:07:40.945+0000	imported 8 documents
2016-12-08T23:07:41.020+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.045+0000	imported 816 documents
2016-12-08T23:07:41.123+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.124+0000	dropping: arslinguis.main
2016-12-08T23:07:41.124+0000	imported 0 documents
2016-12-08T23:07:41.203+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.204+0000	imported 8 documents
2016-12-08T23:07:41.281+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.283+0000	imported 20 documents
2016-12-08T23:07:41.357+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.364+0000	imported 186 documents
2016-12-08T23:07:41.447+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.448+0000	imported 8 documents
2016-12-08T23:07:41.523+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.524+0000	imported 8 documents
2016-12-08T23:07:41.599+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.624+0000	imported 816 documents
2016-12-08T23:07:41.701+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.702+0000	dropping: arslinguis.main
2016-12-08T23:07:41.702+0000	imported 0 documents
2016-12-08T23:07:41.778+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.779+0000	imported 8 documents
2016-12-08T23:07:41.858+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.859+0000	imported 20 documents
2016-12-08T23:07:41.933+0000	connected to: 127.0.0.1
2016-12-08T23:07:41.940+0000	imported 186 documents
2016-12-08T23:07:42.014+0000	connected to: 127.0.0.1
2016-12-08T23:07:42.015+0000	imported 8 documents
2016-12-08T23:07:42.090+0000	connected to: 127.0.0.1
2016-12-08T23:07:42.091+0000	imported 8 documents
2016-12-08T23:07:42.165+0000	connected to: 127.0.0.1
2016-12-08T23:07:42.189+0000	imported 816 documents
2016-12-08T23:08:36.614+0000	connected to: 127.0.0.1
2016-12-08T23:08:36.614+0000	dropping: arslinguis.main
2016-12-08T23:08:36.615+0000	imported 0 documents
2016-12-08T23:08:36.690+0000	connected to: 127.0.0.1
2016-12-08T23:08:36.692+0000	imported 8 documents
2016-12-08T23:08:36.767+0000	connected to: 127.0.0.1
2016-12-08T23:08:36.768+0000	imported 20 documents
2016-12-08T23:08:36.846+0000	connected to: 127.0.0.1
2016-12-08T23:08:36.853+0000	imported 186 documents
2016-12-08T23:08:36.928+0000	connected to: 127.0.0.1
2016-12-08T23:08:36.929+0000	imported 8 documents
2016-12-08T23:08:37.008+0000	connected to: 127.0.0.1
2016-12-08T23:08:37.009+0000	imported 8 documents
2016-12-08T23:08:37.083+0000	connected to: 127.0.0.1
2016-12-08T23:08:37.109+0000	imported 816 documents
